id,name,age
1,Alcatraz,Progressive Era
2,Arctic Orangery,Arctic Future
3,Atlantis Museum,Oceanic Future
4,Atomium,Modern Era
5,Cape Canaveral,Postmodern Era
6,Capitol,Industrial Age
7,Castel del Monte,Late Middle Ages
8,Cathedral of Aachen,Early Middle Ages
9,Château Frontenac,Progressive Era
10,Colosseum,Iron Age
11,Deal Castle,Colonial Age
12,Dynamic Tower,Tomorrow
13,Frauenkirche of Dresden,Colonial Age
14,Gaea Statue,Arctic Future
15,Hagia Sophia,Early Middle Ages
16,Innovation Tower,Contemporary Era
17,Lighthouse of Alexandria,Iron Age
18,Lotus Temple,Contemporary Era
19,Notre Dame,High Middle Ages
20,Observatory,No Age
21,Rain Forest Project,The Future
22,Royal Albert Hall,Industrial Age
23,Saint Basil's Cathedral,Late Middle Ages
24,St. Mark's Basilica,High Middle Ages
25,Seed Vault,Arctic Future
26,Space Needle,Modern Era
27,Statue of Zeus,Bronze Age
28,Temple of Relics,No Age
29,The Arc,The Future
30,The Habitat,Postmodern Era
31,Tower of Babel,Bronze Age
32,Voyager V1,Tomorrow
